"customer_id","outage_sec_week","yrly_equip_failure","timely_replacements"
"F861254","10.00036","No",3
"C94744","10.00097","No",2
"T410387","10.00211","Yes",2
"H866755","10.00277","Yes",2
"V226473","10.00281","Yes",3
"C454715","10.00295","No",5
"R893008","10.00317","No",5
"V571104","10.00344746","Yes",4
"A29486","10.00402","No",3
"F747970","10.00607","Yes",3
"E486950","10.00689","No",6
"R660727","10.00892011","No",4
"N34620","10.01143","No",4
"P153763","10.01287","Yes",2
"H131682","10.0151","No",5
"M957583","10.01552859","No",5
"G733851","10.0165","Yes",3
"K171161","10.01688","No",4
"X789375","10.01693","No",3
"H528993","10.0174","No",1
"U204351","10.01972","No",1
"Y05539","10.01977372","No",5
"B239370","10.02031","No",4
"Z793842","10.02068","Yes",3
"B958792","10.02146","No",3
"X292850","10.02203","No",4
"X528862","10.02228","No",3
"L693816","10.02298","No",2
"I709386","10.02323853","Yes",4
"K334096","10.02345","No",3
"Q83552","10.02423","Yes",3
"P948888","10.02478","Yes",4
"Y184043","10.0260969","No",4
"Z477994","10.02701706","No",2
"F881222","10.02758972","Yes",2
"T462322","10.02798635","No",3
"H948218","10.02846403","No",4
"I09844","10.0299","No",5
"Z712367","10.03005","No",3
"A267074","10.03056","Yes",2
"M255421","10.0308","No",4
"I889643","10.03188","Yes",3
"S242586","10.03198","No",4
"O909186","10.03289","Yes",4
"K218096","10.03353","No",4
"P458031","10.03378888","No",4
"F568055","10.0345016","Yes",5
"N842500","10.03504","No",5
"L863306","10.03556","No",5
"N960316","10.03575","No",3
"R892929","10.03591","Yes",3
"T332168","10.03618","No",2
"U564504","10.03651","Yes",4
"U442595","10.03692527","Yes",3
"F193526","10.03734","Yes",2
"G29944","10.0382","Yes",3
"R481476","10.03906526","No",4
"Z715431","10.0391","No",3
"J154409","10.04016","No",3
"V77948","10.0409","No",1
"I354535","10.04183","No",4
"U698370","10.043","Yes",4
"C120688","10.04493","No",4
"R703770","10.04509","Yes",5
"R620556","10.04585562","Yes",4
"P956414","10.04784815","No",4
"P494811","10.04811","No",5
"Y803084","10.04844","No",5
"E755897","10.0487","No",4
"L74134","10.04912841","No",3
"I544574","10.04996","Yes",2
"X139704","10.0507","No",3
"I933774","10.05121","No",4
"U241553","10.05136169","No",6
"Z208862","10.05201","No",3
"O221751","10.05346","No",4
"S229939","10.05354","No",4
"L568891","10.05372","No",4
"W186069","10.05388383","No",3
"R593691","10.0547","No",2
"E515712","10.05475","No",2
"T998854","10.05697","No",4
"F969613","10.05784","No",4
"T22671","10.05819","No",5
"W592004","10.05990041","No",2
"F571515","10.06","Yes",5
"T258326","10.06248","No",3
"X371370","10.06356","Yes",4
"M777913","10.06634813","No",3
"J725553","10.06669","Yes",4
"L223256","10.06689273","Yes",4
"P268506","10.06822","No",3
"V620517","10.06837","No",3
"G201104","10.06866","No",3
"Q675449","10.06905","No",4
"I161979","10.06942","Yes",3
"X581120","10.06949","Yes",5
"O181132","10.06967038","No",4
"C496971","10.07036","No",3
"Z395113","10.07036","No",2
"W410295","10.07092","No",3
"N877371","10.07105","No",3
"E996160","10.07197012","No",2
"W40512","10.07234257","Yes",4
"T110013","10.07426","No",3
"K43726","10.0764","No",4
"S636055","10.07652766","Yes",4
"F584338","10.07715","Yes",5
"J383885","10.0785","Yes",4
"C320225","10.07854","No",3
"N573961","10.07963518","No",4
"B584202","10.08115","Yes",3
"N11819","10.08263","No",4
"D347113","10.08354","No",2
"W346752","10.085","No",5
"F775718","10.08506","Yes",3
"J291465","10.08565191","No",4
"R753498","10.08605721","No",3
"S785720","10.08608649","Yes",3
"R349356","10.08633","No",3
"W353625","10.08782","No",5
"S596284","10.08809","Yes",4
"E966195","10.09073","No",4
"C810403","10.09307939","Yes",3
"T00947","10.0934549","Yes",5
"V255943","10.09361","No",3
"E140541","10.09367","No",4
"W332546","10.0948","No",4
"D366186","10.09554","No",3
"N798242","10.09707","Yes",3
"T867131","10.09739","No",4
"W536728","10.09753","Yes",4
"X696049","10.09755","No",4
"C783546","10.09976546","Yes",4
"C613656","10.10075","No",5
"D81262","10.10174","No",6
"J410708","10.10186417","No",5
"C910095","10.1041","No",4
"E970292","10.10572","No",3
"L660316","10.10623","Yes",4
"W575781","10.10656","No",4
"L314037","10.10753133","No",4
"A784083","10.10886","Yes",4
"P348821","10.10955","No",4
"B341496","10.11142","No",5
"D470800","10.1125","No",3
"J21506","10.1125551","Yes",2
"H385873","10.11260574","No",6
"C230753","10.11368","No",3
"X637260","10.11537","Yes",3
"K112810","10.11667","No",2
"M520636","10.11721314","No",3
"A442435","10.1175","No",4
"K663726","10.11757","No",2
"S388590","10.11765","No",3
"G257426","10.11802","No",3
"L331646","10.11921","No",3
"B91498","10.11933502","Yes",4
"K923267","10.11956","No",1
"V592787","10.11985468","No",4
"V326753","10.12157","Yes",4
"K361736","10.12336","Yes",4
"I854551","10.12355","Yes",2
"Y236434","10.12368","Yes",4
"I580941","10.12377","No",4
"V65412","10.12439","No",3
"Z775001","10.12576","Yes",2
"C290203","10.12587","No",3
"S735536","10.1263974","No",3
"V258672","10.12925966","No",3
"T79206","10.13094024","Yes",3
"T420846","10.1309532","No",3
"Z13801","10.13223","No",4
"M628541","10.13282402","No",4
"N735618","10.13542","No",4
"Z763537","10.13562","No",3
"P803103","10.13592","Yes",4
"A744958","10.13650144","No",3
"W25766","10.1399","Yes",5
"H113239","10.14014","No",4
"W65270","10.14027","Yes",2
"R140732","10.14030426","Yes",5
"Z580866","10.14164","No",4
"Q246510","10.14357","Yes",3
"G856109","10.14600151","No",4
"R107699","10.14631572","No",4
"L319399","10.14717","No",3
"M112566","10.14904497","No",4
"B59804","10.15007","No",2
"O952685","10.15007074","No",2
"H775532","10.15032","No",3
"O629517","10.15084","No",3
"Q983560","10.15175","No",4
"K917356","10.15194","Yes",4
"C635072","10.15265","No",4
"V922402","10.15348","No",1
"O753379","10.1548","Yes",4
